symbol,name,sector,status
360.AX,Life360,Information Technology,member
4DX.AX,4DMedical,Healthcare,member
A2M.AX,a2 Milk Company,Consumer Staples,member
AAI.AX,Alcoa,Materials,member
AFI.AX,Australian Foundation Investment Company,Financials,member
AGL.AX,AGL Energy,Utilities,member
AIA.AX,Auckland International Airport Limited,Industrials,member
ALD.AX,Ampol,Energy,member
ALK.AX,Alkane Resources,Materials,member
ALL.AX,Aristocrat Leisure,Consumer Discretionary,member
ALQ.AX,ALS,Industrials,member
ALX.AX,Atlas Arteria,Industrials,member
AMC.AX,Amcor,Materials,member
AMP.AX,AMP,Financials,member
ANN.AX,Ansell,Healthcare,member
ANZ.AX,Australia & New Zealand Banking Group,Financials,member
APA.AX,APA Group,Utilities,member
APE.AX,Eagers Automotive,Consumer Discretionary,member
ARB.AX,ARB Corporation,Consumer Discretionary,member
ARG.AX,Argo Investments,Financials,member
ASB.AX,Austal,Industrials,member
ASK.AX,Abacus Storage King,Real Estate,member
ASX.AX,ASX,Financials,member
AUB.AX,AUB Group,Financials,member
AZJ.AX,Aurizon,Industrials,member
BEN.AX,Bendigo & Adelaide Bank,Financials,member
BFL.AX,BSP Financial Group,Financials,member
BGA.AX,Bega Cheese,Consumer Staples,member
BGL.AX,Bellevue Gold,Materials,member
BHP.AX,BHP,Materials,member
BOQ.AX,Bank of Queensland,Financials,member
BPT.AX,Beach Energy,Energy,member
BRG.AX,Breville Group,Consumer Discretionary,member
BSL.AX,BlueScope,Materials,member
BWP.AX,BWP Trust,Real Estate,member
BXB.AX,Brambles,Industrials,member
CAR.AX,CAR Group,Communication Services,member
CBA.AX,Commonwealth Bank,Financials,member
CDA.AX,Codan,Information Technology,member
CEN.AX,Contact Energy,Utilities,member
CGF.AX,Challenger,Financials,member
CHC.AX,Charter Hall,Real Estate,member
CIA.AX,Champion Iron,Materials,member
CIP.AX,Centuria Industrial REIT,Real Estate,member
CLW.AX,Charter Hall Long WALE REIT,Real Estate,member
CMM.AX,Capricorn Metals,Materials,member
CNU.AX,Chorus,Communication Services,member
COH.AX,Cochlear,Healthcare,member
COL.AX,Coles Group,Consumer Staples,member
CPU.AX,Computershare,Information Technology,member
CQR.AX,Charter Hall Retail REIT,Real Estate,member
CSC.AX,Capstone Copper,Materials,member
CSL.AX,CSL,Healthcare,member
CTD.AX,Corporate Travel Management,Consumer Discretionary,member
CWY.AX,Cleanaway,Industrials,member
CYL.AX,Catalyst Metals,Materials,member
DBI.AX,Dalrymple Bay Infrastructure,Industrials,member
DNL.AX,Dyno Nobel,Materials,member
DOW.AX,Downer Group,Industrials,member
DRO.AX,Droneshield,Industrials,member
DRR.AX,Deterra Royalties,Materials,member
DXS.AX,Dexus,Real Estate,member
DYL.AX,Deep Yellow,Energy,member
EBO.AX,EBOS Group,Healthcare,member
EDV.AX,Endeavour Group,Consumer Staples,member
EMR.AX,Emerald Resources,Materials,member
EOS.AX,Electro Optic Systems Holdings,Industrials,member
EVN.AX,Evolution Mining,Materials,member
EVT.AX,EVT,Communication Services,member
FBU.AX,Fletcher Building,Industrials,member
FLT.AX,Flight Centre Travel Group,Consumer Discretionary,member
FMG.AX,Fortescue,Materials,member
FPH.AX,Fisher & Paykel Healthcare,Healthcare,member
FRW.AX,Freightways Group,Industrials,member
GDG.AX,Generation Development Group,Financials,member
GGP.AX,Greatland Resources,Materials,member
